"","state","Votes","Party"
"1","Alabama",1318250,"Repblican"
"2","Alabama",729547,"Democrat"
"3","Alabama",75570,"Other"
"4","Arizona",1252401,"Repblican"
"5","Arizona",1161167,"Democrat"
"6","Arizona",215188,"Other"
"7","Arkansas",684872,"Repblican"
"8","Arkansas",380494,"Democrat"
"9","Arkansas",64530,"Other"
"10","California",4483810,"Repblican"
"11","California",8753788,"Democrat"
"12","California",943997,"Other"
"13","Colorado",1202484,"Repblican"
"14","Colorado",1338870,"Democrat"
"15","Colorado",238866,"Other"
"16","Connecticut",673215,"Repblican"
"17","Connecticut",897572,"Democrat"
"18","Connecticut",74133,"Other"
"19","Delaware",185127,"Repblican"
"20","Delaware",235603,"Democrat"
"21","Delaware",22267,"Other"
"22","District of Columbia",12723,"Repblican"
"23","District of Columbia",282830,"Democrat"
"24","District of Columbia",15715,"Other"
"25","Florida",4617886,"Repblican"
"26","Florida",4504975,"Democrat"
"27","Florida",297178,"Other"
"28","Georgia",2089104,"Repblican"
"29","Georgia",1877963,"Democrat"
"30","Georgia",147644,"Other"
"31","Hawaii",128847,"Repblican"
"32","Hawaii",266891,"Democrat"
"33","Hawaii",33199,"Other"
"34","Idaho",409055,"Repblican"
"35","Idaho",189765,"Democrat"
"36","Idaho",91613,"Other"
"37","Illinois",2146015,"Repblican"
"38","Illinois",3090729,"Democrat"
"39","Illinois",321963,"Other"
"40","Indiana",1557286,"Repblican"
"41","Indiana",1033126,"Democrat"
"42","Indiana",144546,"Other"
"43","Iowa",800983,"Repblican"
"44","Iowa",653669,"Democrat"
"45","Iowa",111379,"Other"
"46","Kansas",671018,"Repblican"
"47","Kansas",427005,"Democrat"
"48","Kansas",86380,"Other"
"49","Kentucky",1202971,"Repblican"
"50","Kentucky",628854,"Democrat"
"51","Kentucky",92324,"Other"
"52","Louisiana",1178638,"Repblican"
"53","Louisiana",780154,"Democrat"
"54","Louisiana",70240,"Other"
"55","Maine",334945,"Repblican"
"56","Maine",354718,"Democrat"
"57","Maine",54278,"Other"
"58","Maryland",943169,"Repblican"
"59","Maryland",1677928,"Democrat"
"60","Maryland",160349,"Other"
"61","Massachusetts",1090893,"Repblican"
"62","Massachusetts",1995196,"Democrat"
"63","Massachusetts",188466,"Other"
"64","Michigan",2279543,"Repblican"
"65","Michigan",2268839,"Democrat"
"66","Michigan",250902,"Other"
"67","Minnesota",1322951,"Repblican"
"68","Minnesota",1367716,"Democrat"
"69","Minnesota",254146,"Other"
"70","Mississippi",700714,"Repblican"
"71","Mississippi",485131,"Democrat"
"72","Mississippi",23512,"Other"
"73","Missouri",1569857,"Repblican"
"74","Missouri",973333,"Democrat"
"75","Missouri",135590,"Other"
"76","Montana",279240,"Repblican"
"77","Montana",177709,"Democrat"
"78","Montana",40198,"Other"
"79","Nebraska",495961,"Repblican"
"80","Nebraska",284454,"Democrat"
"81","Nebraska",63772,"Other"
"82","Nevada",512058,"Repblican"
"83","Nevada",539260,"Democrat"
"84","Nevada",74067,"Other"
"85","New Hampshire",345790,"Repblican"
"86","New Hampshire",348526,"Democrat"
"87","New Hampshire",49980,"Other"
"88","New Jersey",1601933,"Repblican"
"89","New Jersey",2148278,"Democrat"
"90","New Jersey",123835,"Other"
"91","New Mexico",319667,"Repblican"
"92","New Mexico",385234,"Democrat"
"93","New Mexico",93418,"Other"
"94","New York",2814589,"Repblican"
"95","New York",4547562,"Democrat"
"96","New York",345212,"Other"
"97","North Carolina",2362631,"Repblican"
"98","North Carolina",2189316,"Democrat"
"99","North Carolina",189617,"Other"
"100","North Dakota",216794,"Repblican"
"101","North Dakota",93758,"Democrat"
"102","North Dakota",33808,"Other"
"103","Ohio",2841005,"Repblican"
"104","Ohio",2394164,"Democrat"
"105","Ohio",261318,"Other"
"106","Oklahoma",949136,"Repblican"
"107","Oklahoma",420375,"Democrat"
"108","Oklahoma",83481,"Other"
"109","Oregon",782403,"Repblican"
"110","Oregon",1002106,"Democrat"
"111","Oregon",216827,"Other"
"112","Pennsylvania",2970733,"Repblican"
"113","Pennsylvania",2926441,"Democrat"
"114","Pennsylvania",218228,"Other"
"115","Rhode Island",180490,"Repblican"
"116","Rhode Island",251888,"Democrat"
"117","Rhode Island",31038,"Other"
"118","South Carolina",1155389,"Repblican"
"119","South Carolina",855373,"Democrat"
"120","South Carolina",92265,"Other"
"121","South Dakota",227480,"Repblican"
"122","South Dakota",114948,"Democrat"
"123","South Dakota",24760,"Other"
"124","Tennessee",1522925,"Repblican"
"125","Tennessee",870695,"Democrat"
"126","Tennessee",114407,"Other"
"127","Texas",4685047,"Repblican"
"128","Texas",3877868,"Democrat"
"129","Texas",406311,"Other"
"130","Utah",515231,"Repblican"
"131","Utah",310676,"Democrat"
"132","Utah",305523,"Other"
"133","Vermont",95369,"Repblican"
"134","Vermont",178573,"Democrat"
"135","Vermont",41135,"Other"
"136","Virginia",1769443,"Repblican"
"137","Virginia",1981473,"Democrat"
"138","Virginia",233715,"Other"
"139","Washington",1221747,"Repblican"
"140","Washington",1742718,"Democrat"
"141","Washington",244749,"Other"
"142","West Virginia",489371,"Repblican"
"143","West Virginia",188794,"Democrat"
"144","West Virginia",34886,"Other"
"145","Wisconsin",1404440,"Repblican"
"146","Wisconsin",1381823,"Democrat"
"147","Wisconsin",189490,"Other"
"148","Wyoming",174419,"Repblican"
"149","Wyoming",55973,"Democrat"
"150","Wyoming",25457,"Other"
