"","state_ab","latitude","longitude","state","Weight"
"1","AL",32.318231,-86.902298,"Alabama",9
"2","AZ",34.048928,-111.093731,"Arizona",11
"3","AR",35.20105,-91.831833,"Arkansas",6
"4","CA",36.778261,-119.417932,"California",55
"5","CO",39.550051,-105.782067,"Colorado",9
"6","CT",41.603221,-73.087749,"Connecticut",7
"7","DE",38.910832,-75.52767,"Delaware",3
"8","DC",38.905985,-77.033418,"District of Columbia",3
"9","FL",27.664827,-81.515754,"Florida",29
"10","GA",32.157435,-82.907123,"Georgia",16
"11","HI",19.898682,-155.665857,"Hawaii",4
"12","ID",44.068202,-114.742041,"Idaho",4
"13","IL",40.633125,-89.398528,"Illinois",20
"14","IN",40.551217,-85.602364,"Indiana",11
"15","IA",41.878003,-93.097702,"Iowa",6
"16","KS",39.011902,-98.484246,"Kansas",6
"17","KY",37.839333,-84.270018,"Kentucky",8
"18","LA",31.244823,-92.145024,"Louisiana",8
"19","ME",45.253783,-69.445469,"Maine",4
"20","MD",39.045755,-76.641271,"Maryland",10
"21","MA",42.407211,-71.382437,"Massachusetts",11
"22","MI",44.314844,-85.602364,"Michigan",16
"23","MN",46.729553,-94.6859,"Minnesota",10
"24","MS",32.354668,-89.398528,"Mississippi",6
"25","MO",37.964253,-91.831833,"Missouri",10
"26","MT",46.879682,-110.362566,"Montana",3
"27","NE",41.492537,-99.901813,"Nebraska",5
"28","NV",38.80261,-116.419389,"Nevada",6
"29","NH",43.193852,-71.572395,"New Hampshire",4
"30","NJ",40.058324,-74.405661,"New Jersey",14
"31","NM",34.97273,-105.032363,"New Mexico",5
"32","NY",43.299428,-74.217933,"New York",29
"33","NC",35.759573,-79.0193,"North Carolina",15
"34","ND",47.551493,-101.002012,"North Dakota",3
"35","OH",40.417287,-82.907123,"Ohio",18
"36","OK",35.007752,-97.092877,"Oklahoma",7
"37","OR",43.804133,-120.554201,"Oregon",7
"38","PA",41.203322,-77.194525,"Pennsylvania",20
"39","RI",41.580095,-71.477429,"Rhode Island",4
"40","SC",33.836081,-81.163725,"South Carolina",9
"41","SD",43.969515,-99.901813,"South Dakota",3
"42","TN",35.517491,-86.580447,"Tennessee",11
"43","TX",31.968599,-99.901813,"Texas",38
"44","UT",39.32098,-111.093731,"Utah",6
"45","VT",44.558803,-72.577841,"Vermont",3
"46","VA",37.431573,-78.656894,"Virginia",13
"47","WA",47.751074,-120.740139,"Washington",12
"48","WV",38.597626,-80.454903,"West Virginia",5
"49","WI",43.78444,-88.787868,"Wisconsin",10
"50","WY",43.075968,-107.290284,"Wyoming",3
