"","state_ab","latitude","longitude","state"
"2","AL",32.318231,-86.902298,"Alabama"
"3","AR",35.20105,-91.831833,"Arkansas"
"4","AZ",34.048928,-111.093731,"Arizona"
"5","CA",36.778261,-119.417932,"California"
"6","CO",39.550051,-105.782067,"Colorado"
"7","CT",41.603221,-73.087749,"Connecticut"
"8","DC",38.905985,-77.033418,"District of Columbia"
"9","DE",38.910832,-75.52767,"Delaware"
"10","FL",27.664827,-81.515754,"Florida"
"11","GA",32.157435,-82.907123,"Georgia"
"12","HI",19.898682,-155.665857,"Hawaii"
"13","IA",41.878003,-93.097702,"Iowa"
"14","ID",44.068202,-114.742041,"Idaho"
"15","IL",40.633125,-89.398528,"Illinois"
"16","IN",40.551217,-85.602364,"Indiana"
"17","KS",39.011902,-98.484246,"Kansas"
"18","KY",37.839333,-84.270018,"Kentucky"
"19","LA",31.244823,-92.145024,"Louisiana"
"20","MA",42.407211,-71.382437,"Massachusetts"
"21","MD",39.045755,-76.641271,"Maryland"
"22","ME",45.253783,-69.445469,"Maine"
"23","MI",44.314844,-85.602364,"Michigan"
"24","MN",46.729553,-94.6859,"Minnesota"
"25","MO",37.964253,-91.831833,"Missouri"
"26","MS",32.354668,-89.398528,"Mississippi"
"27","MT",46.879682,-110.362566,"Montana"
"28","NC",35.759573,-79.0193,"North Carolina"
"29","ND",47.551493,-101.002012,"North Dakota"
"30","NE",41.492537,-99.901813,"Nebraska"
"31","NH",43.193852,-71.572395,"New Hampshire"
"32","NJ",40.058324,-74.405661,"New Jersey"
"33","NM",34.97273,-105.032363,"New Mexico"
"34","NV",38.80261,-116.419389,"Nevada"
"35","NY",43.299428,-74.217933,"New York"
"36","OH",40.417287,-82.907123,"Ohio"
"37","OK",35.007752,-97.092877,"Oklahoma"
"38","OR",43.804133,-120.554201,"Oregon"
"39","PA",41.203322,-77.194525,"Pennsylvania"
"41","RI",41.580095,-71.477429,"Rhode Island"
"42","SC",33.836081,-81.163725,"South Carolina"
"43","SD",43.969515,-99.901813,"South Dakota"
"44","TN",35.517491,-86.580447,"Tennessee"
"45","TX",31.968599,-99.901813,"Texas"
"46","UT",39.32098,-111.093731,"Utah"
"47","VA",37.431573,-78.656894,"Virginia"
"48","VT",44.558803,-72.577841,"Vermont"
"49","WA",47.751074,-120.740139,"Washington"
"50","WI",43.78444,-88.787868,"Wisconsin"
"51","WV",38.597626,-80.454903,"West Virginia"
"52","WY",43.075968,-107.290284,"Wyoming"
